Startup,Summary,URL
Ubiquityreports,UBIQUITY reports permet d'envoyer un visiteur à tout moment visiter un bien immobilier que je ne peux pas visiter moi-même pour différentes raisons,NaN
Ublo,"Ublo est un logiciel de gestion locative, fluide, beau et ouvert.",https://www.frenchproptech.fr/startup/ublo/
Unlatch,Unlatch est un service innovant qui simplifie et digitalise entièrement le processus de vente en VEFA. Unlatch permet ainsi d’accélérer le [...],https://www.frenchproptech.fr/startup/unlatch/
UpCyclea,"myUpcyclea est le 1er logiciel de gestion circulaire des ressources qui permet, grâce à l'IA, d’améliorer la qualité des bâtiments et [...]",NaN
Upfactor,"Nous détectons et analysons les potentiels de surélévation pour créer des logements, sans artificialiser tout en finançant la rénovation énergétique",https://www.frenchproptech.fr/startup/upfactor/
Urban Campus,"Urban Campus, opérateur de résidentiel géré, transforme la manière dont nous vivons dans les villes avec une offre reposant sur 3 piliers:Une [...]",https://www.frenchproptech.fr/startup/urban-campus/
Vectuel,Des solutions 3D pour piloter la ville d'aujourd'hui et imaginer ensemble celle de demain,https://www.frenchproptech.fr/startup/vectuel/
Vestack,Vestack: la solution technologique pour concevoir & construire hors-site & bas-carbone,https://www.frenchproptech.fr/startup/vestack/
Villes Vivantes,Accompagner les habitants dans des milliers de projets d'autopromotion et transformer les villes,NaN
Vilogi SAS,VILOGI est une société de services informatiques qui développe une plateforme de solutions digitales et innovantes pour la gestion immobilière. [...],NaN
Virtual Building,"VirtualBuilding accompagne les promoteurs immobiliers dans la commercialisation de leurs programmes neufs grâce à des médias 3D interactifs, [...]",NaN
Visiolab,"Créateur de solutions 3D pour la promotion immobilière. Développement de la solution MyShowroom, configurateur de prestations pour le logement [...]",NaN
Visuary,"Visuary est un configurateur de logements en ligne en 3D dynamique destiné aux promoteurs immobiliers réalisant des opérations VEFA.
Il permet de [...]",NaN
Vitsy,"Visty est le seul économiseur de temps conçu pour les professionnels de l’immobilier, qui permet d’économiser un temps considérable au [...]",NaN
VIVROVERT,VivrOVert est une plateforme dont l’objectif est d’aider ceux qui veulent déménager à définir le plus objectivement le lieu de vie qui leur correspond,https://www.frenchproptech.fr/startup/vivrovert/
Vizavy (dpm technologies),Vizavy - L'outil de pilotage et de supervision de l'exploitation de votre parc immobilier.,https://www.frenchproptech.fr/startup/vizavy-dpm-technologies/
Waitack,L’Intelligence Augmentée au service des immeubles de bureau,NaN
Wally,"Plateforme d'investissement digitale proposant d'investir dans des valeurs mobilières, appelées Wally, et connectées à des actifs immobiliers",NaN
Walterre,Walterre® chasse le gaspillage d'énergie et le manque d'efficience des systèmes de chauffage collectif. Nous considérons qu’il y a au moins 10% [...],NaN
Watio,Téléchargez en quelques clics votre constat amiable de dégât des eaux,https://www.frenchproptech.fr/startup/watio/
WBI,"Au cœur de la transition sociale, environnementale et sociétale des bâtiments",NaN
Welkeys,Welkeys est une société leader en location saisonnière et conciergerie haute gamme,NaN
Weloge,Weloge accompagne ses clients lors d'une transaction immobilière,https://www.frenchproptech.fr/startup/weloge/
Wiisdom,Wiisdom est une Proptech innovante qui propose de vendre des logements de particuliers pour 2990€ tout compris,NaN
Wimmov,Plateforme de parrainage,https://www.frenchproptech.fr/startup/wimmov/
Wishibam,Wishibam est le leader européen des plateforme SaaS omnicanale,https://www.frenchproptech.fr/startup/wishibam/
XPerience.immo,"XPerience.immo est la solution tout-en-un pour le Montage, le Pilotage, la Commercialisation & Relation Client.",https://www.frenchproptech.fr/startup/xperience-immo/
YllioRetail,Pilotez et optimisez votre immobilier d'exploitation,https://www.frenchproptech.fr/startup/yllioretail/
YouStock,YouStock transforme le stockage en un vrai service afin d'enlever toutes les contraintes qui surviennent lors d'un besoin de manque d'espace.,https://www.frenchproptech.fr/startup/youstock/
Yuccan Lead,Yuccan aide les professionnels à tirer profit du bouche-à-oreille en transformant leur satisfaction client en recommandACTION client.,https://www.frenchproptech.fr/startup/yuccan-lead/
Zenhome,"Zenhome, propose la 1ère Plateforme Collaborative de Communication reliant Particuliers et Professionnels en Temps Réel dans le cadre de Suivi de [...]",https://www.frenchproptech.fr/startup/zenhome/
Zellips,ZEOM se positionne en acteur unique de la transformation industrielle du secteur de la construction hors-site.,NaN
